Country,2021,2020,2019,2018,2017,2016,2015,2014,2013,,,,,
Sri Lanka,"3,814.70","3,694.00","3,848.20","4,059.20","4,077.00","3,886.30","3,843.80","3,819.30","3,610.30",,,,,
Sweden,"60,239.00","52,300.20","51,939.40","54,589.10","53,791.50","51,965.20","51,545.50","60,020.40","61,126.90",,,,,
Switzerland,"93,457.40","87,100.40","85,334.50","86,388.40","83,352.10","83,073.30","84,776.10","89,684.70","88,109.50",,,,,
Thailand,"7,233.40","7,158.80","7,814.40","7,298.90","6,593.80","5,993.30","5,840.10","5,951.90","6,168.30",,,,,
Trinidad And Tobago,"15,243.10","15,285.90","17,123.10","17,139.20","16,747.90","16,241.40","18,383.50","20,290.50","20,162.70",,,,,
Tunisia,"3,924.30","3,597.20","3,571.90","3,690.90","3,687.80","3,924.30","4,094.80","4,544.00","4,444.80",,,,,
Ukraine,"4,835.60","3,751.70","3,661.50","3,096.60","2,638.30","2,187.70","2,124.70","3,104.60","4,187.70",,,,,
United Arab Emirates,"35,171.00","36,284.60","42,701.40","43,839.30","40,644.80","38,141.90","38,663.40","43,751.80","42,412.60",,,,,
United Kingdom,"47,334.40","41,098.10","43,070.50","43,647.00","40,857.80","41,499.60","45,404.60","47,787.20","43,713.80",,,,,
United States,"69,287.50","63,027.70","65,094.80","62,805.30","59,914.80","57,866.70","56,762.70","55,123.80","53,291.10",,,,,
Uruguay,"17,020.60","15,418.80","17,688.00","18,703.90","18,690.90","16,715.60","15,613.70","16,831.90","16,973.70",,,,,
Vietnam,"3,694.00","3,526.30","3,425.10","3,230.90","2,974.10","2,745.60","2,581.60","2,545.40","2,354.90",,,,,
Turkey,"9,586.60","8,536.40","9,121.50","9,454.30","10,589.70","10,894.60","11,006.30","12,158.00","12,614.80",,,,,
